words	rst	class	segment	rst_code	class_code
The NCIS was implemented on Nov. 30 , 1998 and later amended on Jan. 8 , 2008 in response to the Apr. 16 , 2007 Virginia Technical University shooting	elaboration	NoArgument	699	9	1
in response to the Apr. 16 , 2007 Virginia Technical University shooting so that	elaboration	NoArgument	699	9	1
so that the Attorney General could more easily acquire information pertinent	elaboration	NoArgument	699	9	1
the Attorney General could more easily acquire information pertinent to background	purpose	NoArgument	699	16	1
to background checks such as disqualifying mental conditions .	elaboration	NoArgument	699	9	1
Guns are a part of American culture . Guns are a part of American culture .	none	Argument	41	15	0
You know who	elaboration	NoArgument	2347	9	1
You know does follow the law ?	same_unit	NoArgument	2347	20	1
She grew concerned in April	elaboration	NoArgument	628	9	1
concerned in April when she found Rodger 's YouTube video he had posted .	circumstance	NoArgument	628	2	1
Gun Control ProCon.org Retrieved from http://guncontrol.procon.org ProCon.org .	elaboration	NoArgument	415	9	1
Have my cell phone company turn over my call records ? Have my cell phone company turn over my call records ?	none	NoArgument	787	15	1
This is a blatant form of racial inequality . This is a blatant form of racial inequality .	none	NoArgument	164	15	1
Therefore , there is no constitutional impediment to the regulation of firearms .	elaboration	Argument	2379	9	0
to the regulation of firearms . 	elaboration	Argument	2379	9	0
They would just shoot whoever ticks them off . They would just shoot whoever ticks them off .	none	Argument	2907	15	0
It most severely victimizes those who most need weapons for self-defense , such as blacks and women .	elaboration	Argument	829	9	0
if the murderer in Newtown was suffering from a suicidal depression , but many mass shooters in the past were .	condition	Argument	973	5	0
We do n't know if the murderer in Newtown was suffering from a suicidal depression , but many	attribution	Argument	973	1	0
Gun violence , in short , is a structural impediment to true equality for high-crime , low-income areas . Gun violence , in short , is a structural impediment to true equality for high-crime , low-income areas .	none	Argument	1091	15	0
Local communities need to be able to regulate guns , as needed , to deal	circumstance	Argument	230	2	0
as needed , to deal with their violence .	elaboration	Argument	230	9	0
But then , nuclear weapons do n't kill people either , and neither do military grenades .	attribution	Argument	344	1	0
that individuals have a Constitutional right to own	attribution	Argument	48	1	0
a gun regardless of militia service ) of the Second Amendment was the June 26 , 2008 US	elaboration	Argument	48	9	0
a gun regardless of militia service ) of the Second Amendment was the June 26 , 2008 Supreme Court ruling in DC v. Heller .	elaboration	Argument	48	9	0
to own a gun regardless of militia service ) of the Second Amendment was the June 26 , 2008	attribution	Argument	48	1	0
The first time the Court upheld an individual rights interpretation ( that individuals have a Constitutional right	attribution	Argument	48	1	0
Last modified February 18 , 2016 . Last modified February 18 , 2016 .	none	NoArgument	2942	15	1
that the number of incidents in which concealed-gun carriers kill innocent people is a fraction of 1 percent of all gun-related homicides .	elaboration	Argument	28	9	0
that the number of incidents 	elaboration	Argument	28	9	0
The Christian Science Monitor reported that the number of incidents	attribution	Argument	28	1	0
California will not see a single positive result if Proposition 19 passes , Feinstein said in a statement .	attribution	Argument	110	1	0
Drugs like heroin , cocaine , and amphetamines , which	elaboration	Argument	2304	9	0
, which we may view now as unacceptable	attribution	Argument	2304	1	0
we may view now as unacceptable for legalization may eventually be sold over the counter at every corner drug store .	elaboration	Argument	2304	9	0
Cannabis is known to ease pain disorders , including the side-effects cancer patients experience throughout treatment .	example	Argument	123	10	0
This , after all , is a primary concern of legalization opponents . This , after all , is a primary concern of legalization opponents .	none	NoArgument	236	15	1
The dangers of secondhand cigarette smoke are well-publicized . The dangers of secondhand cigarette smoke are well-publicized .	none	Argument	60	15	0
Public places like bars would expose innocent patrons . Public places like bars would expose innocent patrons .	none	Argument	1161	15	0
They cite dozens of peer-reviewed studies , prominent medical organizations , major government reports , and the use of marijuana as medicine throughout world history	elaboration	Argument	2344	9	0
throughout world history .	elaboration	Argument	2344	9	0
Pueblo because they think	reason	Argument	77	18	0
because they think it is a good place	elaboration	Argument	77	9	0
it is a good place to grow cannabis .	elaboration	Argument	77	9	0
Criminals from everywhere , he said , are attracted to Pueblo	attribution	Argument	77	1	0
When he gets out of prison , his job and college prospects are slammed because of a felony record and/or disruption of school .	reason	Argument	55	18	0
Contrary to popular belief , marijuana is not as addicting as one may think	elaboration	Argument	1058	9	0
as one may think .	attribution	Argument	1058	1	0
Secretary of State Alex Padilla has said legal challenges over measures on the Nov. 8 ballot must be completed by Aug. 15 .	attribution	NoArgument	199	1	1
So they 're very different products . So they 're very different products .	none	NoArgument	1349	15	1
Marijuana use is generally thought of as a victimless crime , in that	elaboration	Argument	1201	9	0
of as a victimless crime , in that only the user is being harmed .	elaboration	Argument	1201	9	0
The full pamphlet is viewable online , along with pro/con arguments of other upcoming ballot measures . The full pamphlet is viewable online , along with pro/con arguments of other upcoming ballot measures .	none	NoArgument	558	15	1
BEN CORT : I think	elaboration	NoArgument	1483	9	1
it comes down to what kind of reputation you 're comfortable	elaboration	NoArgument	1483	9	1
to what kind of reputation you 're comfortable with your state having .	elaboration	NoArgument	1483	9	1
I think it comes down	attribution	NoArgument	1483	1	1
29 % of those who had never used cannabis cited the illegality of the substance as their reason	elaboration	NoArgument	6	9	1
29 % of those for never using the drug ,	elaboration	NoArgument	6	9	1
for never using the drug , while 19 % of those	elaboration	NoArgument	6	9	1
while 19 % of those who had ceased use of cannabis cited its illegality as their reason .	elaboration	NoArgument	6	9	1
But it has also had the unwanted side effect that Dutch children are frequently exposed to the drug in public areas .	attribution	Argument	78	1	0
It would be malpractice to say	elaboration	Argument	810	9	0
to say that cannabis is n't addictive .	attribution	Argument	810	1	0
e_s4y_nu says2015-11-19T09 :10:54.133 Report Post E s4y nu tu maruanana bassboy2k says2016-03-21T17 :01:51.790 Report Post I posted this in the debate , but going to post it again here	elaboration	NoArgument	21	9	1
here because I feel	attribution	NoArgument	21	1	1
because I feel so strongly about it !	attribution	NoArgument	21	1	1
It may also prove beneficial for people with Crohn 's disease .	elaboration	Argument	1936	9	0
This means an additional 17 to 34 million young and adult users in the United States .	elaboration	Argument	701	9	0
An enormous amount of money is raised through government taxation of alcohol , cigarettes , and other sins . An enormous amount of money is raised through government taxation of alcohol , cigarettes , and other sins .	none	Argument	861	15	0
The outlawing of marijuana translated into a war that has been waged against families like mine for over four decades . The outlawing of marijuana translated into a war that has been waged against families like mine for over four decades .	none	NoArgument	116	15	1
so why not break your knee cap to top it all off .	purpose	Argument	334	16	0
That 's like saying you 've got a bad back	attribution	Argument	334	1	0
you 've got a bad back and a bad shoulder ;	list	Argument	334	12	0
you 've got a bad back so why not break your knee cap	list	Argument	334	12	0
Additionally , that small subset Dr. Drew is talking about is n't so small in a big country like America .	attribution	NoArgument	425	1	1
My argument ( and this argument is supported by the segment in	elaboration	Argument	1325	9	0
My argument ( and this argument Dr. Gupta 's documentary where the effects of THC-rich marijuana on young forming brains is explored ) is	elaboration	Argument	1325	9	0
Dr. Gupta 's documentary where the effects of THC-rich marijuana on young forming brains is explored ) is that it is our responsibility	elaboration	Argument	1325	9	0
that it is our responsibility to regulate this narcotic .	elaboration	Argument	1325	9	0
As of early this month , 4Front Ventures had contributed $ 28,500 to the Yes on 4 campaign and has been providing campaign staffers with free office space . As of early this month , 4Front Ventures had contributed $ 28,500 to the Yes on 4 campaign and has been providing campaign staffers with free office space .	none	NoArgument	1578	15	1
Partners HealthCare , the largest employer in the state , contributed $ 100,000 . Partners HealthCare , the largest employer in the state , contributed $ 100,000 .	none	NoArgument	1268	15	1
You ca n't legislate morality when people disagree	circumstance	NoArgument	2316	2	1
when people disagree about what 's considered moral	elaboration	NoArgument	2316	9	1
when people disagree .	same_unit	NoArgument	2316	20	1
Both sides are very passionate about changing the law , and both sides have good arguments for effecting this change ,	elaboration	NoArgument	1362	9	1
for effecting this change , but no one seems	elaboration	NoArgument	1362	9	1
but no one seems to want to do the homework	elaboration	NoArgument	1362	9	1
to want to do the homework and get the information for themselves .	list	NoArgument	1362	12	1
And like all pioneers , they face a lot of unknowns . And like all pioneers , they face a lot of unknowns .	none	NoArgument	59	15	1
for Amsterdam : Humans being what they are , just about any stupid idea we can come up	elaboration	NoArgument	944	9	1
2 ) This experiment has n't worked out so well for Amsterdam :	attribution	NoArgument	944	1	1
for Amsterdam : with has already been tried somewhere else .	same_unit	NoArgument	944	20	1
But that gap closed considerably this month when casino magnate Sheldon Adelson , a native of Dorchester , contributed $	circumstance	NoArgument	541	2	1
when casino magnate Sheldon Adelson , a native of Dorchester , contributed $ 1 million to the Campaign for a Safe and Healthy Massachusetts .	elaboration	NoArgument	541	9	1
The smoke of marijuana contains 60 chemicals known as cannabinoids , and the most popular one is THC .	elaboration	Argument	1175	9	0
1 ) It 's extremely addictive for some people : If you do n't want to take my word for it , listen	elaboration	Argument	763	9	0
to Dr. Drew Pinsky who has been working with addicts for decades .	elaboration	Argument	763	9	0
If you do n't want to take my word for it , listen to Dr. Drew Pinsky	condition	Argument	763	5	0
that it 's not very harmful if used in moderation .	condition	Argument	247	5	0
Most doctors would agree that it 's not very harmful	attribution	Argument	247	1	0
The flowers ... contain psychoactive and physiologically active chemical compounds known as cannabinoids that are consumed for recreational , medicinal , and spiritual purposes , per Wikipedia .	elaboration	NoArgument	1783	9	1
For instance , in Colorado , analysts recommend that taxing the drug could raise millions of dollars each year .	attribution	Argument	57	1	0
that marijuana users have abnormal brain structure and poor memory	elaboration	Argument	610	9	0
A recent Northwestern University study found that marijuana users have abnormal brain structure and poor	attribution	Argument	610	1	0
memory and that chronic marijuana abuse may lead to brain changes resembling schizophrenia .	list	Argument	610	12	0
But it is long past time to repeal this version of Prohibition .	elaboration	Argument	449	9	0
Since then , 28 of 50 US states and DC have legalized the medical use of marijuana . Since then , 28 of 50 US states and DC have legalized the medical use of marijuana .	none	NoArgument	501	15	1
Why are people fighting passionately to create legislation	purpose	Argument	1472	16	0
to create legislation that could put this burgeoning generation at such high risk ?	attribution	Argument	1472	1	0
Is medical marijuana bad ? Is medical marijuana bad ?	none	NoArgument	481	15	1
So private homes , apartment complexes , other sort of buildings are really up	elaboration	NoArgument	645	9	1
are really up to the discretion of the landlord .	elaboration	NoArgument	645	9	1
WebMD archives all video content after 48 months to ensure our readers can easily find the most timely content .	elaboration	NoArgument	1869	9	1
This often leads to cycles of retaliatory violence . This often leads to cycles of retaliatory violence .	none	NoArgument	1893	15	1
And just this week we 've had a big report come out showing us the new things that kids are doing in high school where they 're using the vaporizing pens and smoking weed in class .	attribution	Argument	460	1	0
And what impact might decriminalization make on social justice ? And what impact might decriminalization make on social justice ?	none	NoArgument	370	15	1
Its excessive use can sometimes cause serious health problems such as low blood pressure , liver disease or diabetes . Its excessive use can sometimes cause serious health problems such as low blood pressure , liver disease or diabetes .	none	Argument	2013	15	0
Dr. Gupta reports that there are a host of medical advantages to using the drug , the most profound	elaboration	Argument	2097	9	0
that there are a host of medical advantages to using the drug , the most profound of which is staving off the debilitating effects of chemotherapy	elaboration	Argument	2097	9	0
of which is staving off the debilitating effects of chemotherapy , which	elaboration	Argument	2097	9	0
that there are a host of medical advantages to using the drug , the most profound I	elaboration	Argument	2097	9	0
I agree places pot in a category of its own .	elaboration	Argument	2097	9	0
This story may seem farfetched , but it is all too real for some .	elaboration	NoArgument	1434	9	1
The study also reported that the younger the person starts using marijuana , the worse the effects become .	attribution	Argument	202	1	0
As you 'll see by reading research studies from the related links section at the bottom of the page , the studies of the harmfulness of marijuana are inconclusive and contradictory .	attribution	Argument	2199	1	0
Based on the experience elsewhere , the number of users will double or triple . Based on the experience elsewhere , the number of users will double or triple .	none	Argument	1247	15	0
Yes , some who wish to see marijuana	elaboration	Argument	9	9	0
to see marijuana legalized use it for recreational purposes , but the other benefits can not be ignored .	attribution	Argument	9	1	0
I , for one , am absolutely against the legalization of marijuana . I , for one , am absolutely against the legalization of marijuana .	none	NoArgument	854	15	1
At a minimum , they will be off the streets , unable to wreak more havoc .	purpose	Argument	1324	16	0
It 's what gets you high . It 's what gets you high .	none	NoArgument	1216	15	1
There 'd be advertisements in newspapers and on TV . There 'd be advertisements in newspapers and on TV .	none	NoArgument	2042	15	1
There could also be savings from reduced expenditures on arrests , prosecution , and punishment of marijuana possession and trafficking . 	elaboration	Argument	347	9	0
Narcotics Control Act of 1956 - Set mandatory prison sentences and fines for drug offenses , including for marijuana .	elaboration	Argument	1808	9	0
NARRATOR : It 's not only the gateway issue that 's under scrutiny .	elaboration	NoArgument	655	9	1
MASON TVERT : Colorado stands	elaboration	Argument	1417	9	0
Colorado stands to bring in upwards of $	elaboration	Argument	1417	9	0
to bring in upwards of $ 100 million or possibly even more each	elaboration	Argument	1417	9	0
Colorado stands year	attribution	Argument	1417	1	0
just by taxing this product that otherwise would be getting flushed down the toilet in an underground market .	attribution	Argument	1417	1	0
year just by taxing this product	attribution	Argument	1417	1	0
that federal law held precedence over state legislatures .	elaboration	NoArgument	1552	9	1
The White House claimed that federal law held precedence	attribution	NoArgument	1552	1	1
yet , trust me : it 's an eye-opener .	elaboration	NoArgument	640	9	1
If you have n't visited their page yet , trust	condition	NoArgument	640	5	1
Contrary to Mowrey 's assertion , the RTMA provides for an initial rollout of about 150 cannabis retail outlets . Contrary to Mowrey 's assertion , the RTMA provides for an initial rollout of about 150 cannabis retail outlets .	none	NoArgument	516	15	1
NARRATOR : What other doors recreational pot might open is a longstanding concern , and legal pot has reignited the discussion .	attribution	Argument	1005	1	0
What are the economics at play ? What are the economics at play ?	none	NoArgument	1844	15	1
Discount Founder and Chairman Bruce Halle has net worth of $ 6.3 billion , putting him on the Forbes richest Americans list . Discount Founder and Chairman Bruce Halle has net worth of $ 6.3 billion , putting him on the Forbes richest Americans list .	none	NoArgument	1140	15	1
Why are Americans in such a hurry to get high	purpose	NoArgument	1404	16	1
to get high ?	list	NoArgument	1404	12	1
Washington , New Hampshire and Massachusetts state legislatures are slated to consider marijuana legalization bills in 2010-2011 .	elaboration	NoArgument	139	9	1
After all , there is nothing to regulate what is sold and no way	elaboration	Argument	2049	9	0
to regulate what is sold and no way to sue anyone for product liability .	elaboration	Argument	2049	9	0
The acceptance of a substance that can cause harm is the wrong message to send	elaboration	Argument	2346	9	0
to send to children	purpose	Argument	2346	16	0
that adolescents in the risk-taking times of their lives really perceive the risks of marijuana as having declined .	elaboration	Argument	2346	9	0
and adolescents , he said , and we know that adolescents in the risk-taking times of their lives really perceive the risks of marijuana	attribution	Argument	2346	1	0
to children as having declined .	list	Argument	2346	12	0
that adolescents in the risk-taking times of their lives really perceive the risks of marijuana 	list	Argument	2346	12	0
We are living in a country where young people everywhere are actively seeking out new and creative ways to self-medicate .	purpose	Argument	420	16	0
Even small amounts of marijuana can cause temporary sterility and it has a terrible impact on the babies of women who	elaboration	Argument	1464	9	0
smoke including birth defects , mental abnormalities and increased risk of leukemia in children .	example	Argument	1464	10	0
smoke 	list	Argument	1464	12	0
Even small amounts of marijuana can cause temporary sterility and it has a terrible impact on the babies of women smoke	same_unit	Argument	1464	20	0
Several of these little pleasures -- coffee , sex , alcohol , cigarettes , etc.	elaboration	Argument	1822	9	0
-- coffee , sex , alcohol , cigarettes , etc. -- are potentially	elaboration	Argument	1822	9	0
-- are potentially harmful if abused .	list	Argument	1822	12	0
Marijuana use can permanently impair brain development . Marijuana use can permanently impair brain development .	none	Argument	720	15	0
As detailed in the related links section , there are a number of medical benefits of marijuana , most notably in the treatment of patients undergoing chemotherapy . As detailed in the related links section , there are a number of medical benefits of marijuana , most notably in the treatment of patients undergoing chemotherapy .	none	Argument	876	15	0
that it made a point to include a web link to more information on the subject .	elaboration	NoArgument	141	9	1
and that it made a point	attribution	NoArgument	141	1	1
on Monday that the influential health association followed the national APHA by not taking a stance for or against legalization ,	attribution	NoArgument	141	1	1
Humble said on Monday	attribution	NoArgument	141	1	1
that the influential health association followed the national APHA by not taking a stance for or against legalization , that it made a point	list	NoArgument	141	12	1
At least cigarettes do n't peel points off of your IQ .	elaboration	Argument	1412	9	0
And here is where things get complicated .	circumstance	NoArgument	924	2	1
They say that medical marijuana is a front for drug legalization and recreational use .	attribution	Argument	244	1	0
A number of other states have legal medicinal marijuana including Utah 's neighbors New Mexico , Arizona and Nevada as well as California with its significant Mormon population .	example	NoArgument	1360	10	1
The immediacy of the data makes the survey particularly useful for understanding how the national conversation on marijuana legalization is affecting teen pot use , if at all .	condition	NoArgument	156	5	1
Before the 20th century , cannabis plants in the U.S. were relatively unregulated , and marijuana was a common ingredient in medicines .	list	Argument	1711	12	0
It could be a source of additional tax revenues . It could be a source of additional tax revenues .	none	Argument	548	15	0
It 's simply not a gateway drug . It 's simply not a gateway drug .	none	Argument	1904	15	0
Amsterdam is the most famous place across the world that has effectively legalized pot . Amsterdam is the most famous place across the world that has effectively legalized pot .	none	Argument	825	15	0
that marijuana helps decrease the pressure inside your eye .	elaboration	Argument	1940	9	0
Studies show that marijuana helps decrease the pressure	attribution	Argument	1940	1	0
Arnold Schwarzenegger signed legislation in 2010 that reduced the penalties for possession of less than an ounce of marijuana . Arnold Schwarzenegger signed legislation in 2010 that reduced the penalties for possession of less than an ounce of marijuana .	none	NoArgument	357	15	1
Recreational use of marijuana was thought to have been introduced in the U.S. early in the 20th century by immigrants from Mexico .	purpose	NoArgument	1415	16	1
Our economy is suffering . Our economy is suffering .	none	NoArgument	572	15	1
Street justice related to drug disputes would be reduced . Street justice related to drug disputes would be reduced .	none	Argument	58	15	0
finds that marijuana does not induce violence , insanity or sex crimes .	attribution	Argument	318	1	0
1944 , New York Academy of Medicine - Report that marijuana does not induce violence , insanity or sex crimes .	textualorganization	Argument	318	23	0
They say marijuana is addictive , leads to harder drug use , interferes with fertility , impairs driving ability , and injures the lungs , immune system , and brain .	elaboration	Argument	1206	9	0
The governing agreement released last week laid out plans that will force them to become members-only clubs and shut down those shops located near schools .	elaboration	NoArgument	1493	9	1
On the other hand , the financial incentive explains the army of paid signature gatherers that hit the streets over the past few months , whose wages were supplied through donations of more than $ 1 million from dispensaries and the national Marijuana Policy Project .	elaboration	Argument	908	9	0
It simply is n't the government 's business that somebody is sitting home and enjoying marijuana , Gaus said	elaboration	Argument	323	9	0
that somebody is sitting home and enjoying marijuana , Gaus said .	attribution	Argument	323	1	0
This is compared to the 16 % of Americans who have tried cocaine , which	elaboration	NoArgument	25	9	1
This is compared to the 16 % of Americans who have tried cocaine is obviously a significantly lower percentage .	same_unit	NoArgument	25	20	1
In particular , the absence of legal means for coffee shops to obtain cannabis has highlighted their association with organized crime .	same_unit	NoArgument	1740	20	1
It is not clear when the letter will be read .	circumstance	NoArgument	2159	2	1
Enter the shape , color , or imprint of your prescription or OTC drug .	elaboration	NoArgument	1296	9	1
what you can and ca n't have when it is only your body that is affected ?	circumstance	Argument	163	2	0
Would you want someone else telling you what you can and ca n't have	attribution	Argument	163	1	0
Others believe it helps in the treatment of depression .	attribution	Argument	2177	1	0
They are people who believe	elaboration	Argument	1097	9	0
that it makes no sense to treat marijuana as a crime . NoArgument train	elaboration	Argument	1097	9	0
that it makes no sense to treat marijuana marijuana legalization http://www.balancedpolitics.org/marijuana_legalization.htm http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm 47031efeaeb182d1757a52d5f8e85e2d Certain states like California have brought initiatives	elaboration	Argument	1097	9	0
They are people marijuana legalization http://www.balancedpolitics.org/marijuana_legalization.htm http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm 47031efeaeb182d1757a52d5f8e85e2d Certain states like California have brought initiatives	elaboration	Argument	1097	9	0
marijuana legalization http://www.balancedpolitics.org/marijuana_legalization.htm http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm 47031efeaeb182d1757a52d5f8e85e2d Certain states like California have brought initiatives to legalize the drug for at least medicinal purposes . Argument_for train	purpose	Argument	1097	16	0
marijuana legalization http://www.heritage.org/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no http://web.archive.org/web/20160513004400/http://www.heritage.org:80/research/reports/2010/09/legalizing-marijuana-why-citizens-should-just-say-no 82b0ef7a2c07ad3622d317a0f8bb6f2b nan Argument_against train marijuana legalization http://www.debate.org/opinions/should-marijuana-be-legalized http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized e432497509c591af00823762e87c78e1 nan Argument_for train	elaboration	Argument	1097	9	0
marijuana legalization http://www.debate.org/opinions/should-marijuana-be-legalized http://web.archive.org/web/20160515043225/http://www.debate.org:80/opinions/should-marijuana-be-legalized e432497509c591af00823762e87c78e1 nan Argument_for train marijuana legalization http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html e6a3b4cb455b87597eb9c160da06f56a Cannabis can be a safe and useful	elaboration	Argument	1097	9	0
marijuana legalization http://www.denverpost.com/2015/12/26/after-two-years-debate-remains-over-marijuana-legalizations-impacts/ http://web.archive.org/web/20160821183623/http://www.denverpost.com/2015/12/26/after-two-years-debate-remains-over-marijuana-legalizations-impacts/ ec6220476e2d0d31f7cdb513ac378ad6 nan NoArgument train marijuana legalization http://www.heraldnews.com/news/20161016/pros-and-cons-of-legalizing-marijuana-in-mass http://web.archive.org/web/20161018105105/http://www.heraldnews.com/news/20161016/pros-and-cons-of-legalizing-marijuana-in-mass 2881b4e61395651b7e41eeb472076a76 nan NoArgument train	elaboration	Argument	1097	9	0
marijuana legalization http://www.usnews.com/debate-club/should-marijuana-use-be-legalized/marijuana-legalizations-costs-outweigh-its-benefits http://web.archive.org/web/20160331141900/http://www.usnews.com/debate-club/should-marijuana-use-be-legalized/marijuana-legalizations-costs-outweigh-its-benefits 52742cfe33774b6125bd8960a61a972c Thank you , your email has been submitted . NoArgument train marijuana legalization http://www.washingtontimes.com/news/2016/aug/1/a-case-against-legalizing-marijuana/ http://web.archive.org/web/20160905155600/http://www.washingtontimes.com/news/2016/aug/1/a-case-against-legalizing-marijuana/ d081b3108406423711608ebb0d1da3a1 nan Argument_for test	elaboration	Argument	1097	9	0
is because kids generally do n't exhibit the same reasoning , responsibility , and judgment of an adult . NoArgument train	elaboration	Argument	1097	9	0
is because kids generally do n't exhibit the same reasoning , responsibility , and judgment of an adult . marijuana legalization http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208 http://web.archive.org/web/20160720175546/http://www.phoenixnewtimes.com/news/state-publishes-public-arguments-on-arizonas-weed-legalization-measure-hilarity-ensues-8467208 96413583bdfbd178813cd778f30352dd nan NoArgument val	elaboration	Argument	1097	9	0
marijuana legalization http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html 295bf8686d3cc53aabc64f9b4d2c3e24 Most polls regarding Americans and their pot use hover around the 40 % mark for having tried marijuana at least once .	elaboration	Argument	1097	9	0
their pot use hover around the 40 % mark for having tried marijuana at least once . NoArgument train	elaboration	Argument	1097	9	0
marijuana legalization http://www.people-press.org/2015/04/14/in-debate-over-legalizing-marijuana-disagreement-over-drugs-dangers/ http://web.archive.org/web/20161206061941/http://www.people-press.org/2015/04/14/in-debate-over-legalizing-marijuana-disagreement-over-drugs-dangers/ 1438f960735312b0e7db69a83a84aa70 nan NoArgument test marijuana legalization https://www.bostonglobe.com/metro/2016/10/28/archdiocese-spend-against-marijuana-legalization/qtCwVY4ViWjRFwOvcyveeK/story.html http://web.archive.org/web/20161125181222/https://www.bostonglobe.com/metro/2016/10/28/archdiocese-spend-against-marijuana-legalization/qtCwVY4ViWjRFwOvcyveeK/story.html f8452488a63f2c6f3c63cea06895af9e nan NoArgument train	elaboration	Argument	1097	9	0
marijuana legalization https://news.vice.com/story/heres-who-bankrolls-the-fight-against-marijuana-legalization http://web.archive.org/web/20161027114055/https://news.vice.com/story/heres-who-bankrolls-the-fight-against-marijuana-legalization 666da73e51a0bb6cc0256480fa50147a nan NoArgument train marijuana legalization http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html 02966e915b1a66e793b97153c45acc9c Around 40 % of Americans have already admitted to using marijuana . Argument_for train	elaboration	Argument	1097	9	0
marijuana legalization http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html 02966e915b1a66e793b97153c45acc9c Around 40 % of Americans have already admitted to using marijuana . Argument_for train marijuana legalization http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html b06df58fbb96a2f65f266bcd60a9a59f Maya Angelou , Martha Stewart , Morgan Freeman , Ted Turner , Michael Bloomberg , and even Rush Limbaugh are all high-functioning marijuana users . Argument_for train	elaboration	Argument	1097	9	0
marijuana legalization http://www.huffingtonpost.com/2013/10/24/marijuana-legalization_n_4151423.html http://web.archive.org/web/20160516122914/http://www.huffingtonpost.com:80/2013/10/24/marijuana-legalization_n_4151423.html b06df58fbb96a2f65f266bcd60a9a59f Maya Angelou , Martha Stewart , Morgan Freeman , Ted Turner , Michael Bloomberg , and even Rush Limbaugh are all high-functioning marijuana users . Argument_for train marijuana legalization http://www.wbur.org/morningedition/2016/10/20/marijuana-ballot-question-money http://web.archive.org/web/20161021120548/http://www.wbur.org/morningedition/2016/10/20/marijuana-ballot-question-money 1754f42106ed274d5933afebeb2cd56a And	elaboration	Argument	1097	9	0
as Nov. 8 approaches , look for the commercial airwaves ,	elaboration	Argument	1097	9	0
and your social media feed , to contain more and more advertisements for and against Question 4 .	elaboration	Argument	1097	9	0
for and against Question 4 . NoArgument val	elaboration	Argument	1097	9	0
marijuana legalization http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm http://web.archive.org/web/20161119055237/http://usliberals.about.com/od/patriotactcivilrights/i/MarijuanaProCon.htm 6aa007ba170287d2dbb3b782c33f1df5 1996 to 2008 - 12 other states legalized medicinal marijuana use ,	elaboration	Argument	1097	9	0
marijuana legalization http://www.balancedpolitics.org/marijuana_legalization.htm http://web.archive.org/web/20161018164722/http://balancedpolitics.org/marijuana_legalization.htm d5677ac93fda0495dde2f1c62ee60969 Would you want the government limiting how much coffee you can drink or how much cheesecake you take in ? Argument_for train marijuana legalization http://www.huffingtonpost.com/dr-howard-samuels/legalizing-marijuana_b_4144180.html http://web.archive.org/web/20160814011111/http://www.huffingtonpost.com/dr-howard-samuels/legalizing-marijuana_b_4144180.html 6eb283e2d5e79250ed7c45e9e1b3a45e Decriminalization or re-legalization would mean that certain drugs would be legally available ,	elaboration	Argument	1097	9	0
marijuana legalization http://www.huffingtonpost.com/dr-howard-samuels/legalizing-marijuana_b_4144180.html http://web.archive.org/web/20160814011111/http://www.huffingtonpost.com/dr-howard-samuels/legalizing-marijuana_b_4144180.html 6eb283e2d5e79250ed7c45e9e1b3a45e Decriminalization or re-legalization would mean that certain drugs would be legally available , but regulated	elaboration	Argument	1097	9	0
but regulated by the	means	Argument	1097	14	0
by the government which would mean restrictions on advertising , age limitations , restrictions on the amount	elaboration	Argument	1097	9	0
government which would mean restrictions on advertising , age limitations , restrictions on the amount purchased at one time , requirements on the form	elaboration	Argument	1097	9	0
purchased at one time , requirements on the form in which certain drugs would be supplied and maybe a ban on sales to intoxicated persons , etc . Argument_for train	elaboration	Argument	1097	9	0
